standard,standard_area,source_version,scope_or_group,role_count,base_nodes,closed_dimensions,member_counts,formula,reportable_coordinates,technical_coordinates,typed_open_dimensions,excluded_repetitions,source_locator,notes,role_codes
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [ghg_scope; ghg_gas] examples: ghg_required_gas_emissions_mass_by_scope, ghg_required_gas_emissions_co2e_by_scope",2,2,ghg_scope; ghg_gas,2; 7,2 x 2 x 7,28,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,,ghg_required_gas_emissions_mass_by_scope;ghg_required_gas_emissions_co2e_by_scope
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"technical nodes with dimensions [ghg_scope; ghg_gas] examples: ghg_required_gas_emissions_mass_by_scope, ghg_required_gas_emissions_co2e_by_scope",2,2,ghg_scope; ghg_gas,2; 7,2 x 2 x 7,,28,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_required_gas_emissions_mass_by_scope;ghg_required_gas_emissions_co2e_by_scope
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [grid_region; factor_source] examples: ghg_scope3_cat04_transportation_fuel_based_electricity_emission_factor,1,1,grid_region; factor_source,1; 1,1 x 1 x 1,,1,grid_region; factor_source,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat04_transportation_fuel_based_electricity_emission_factor
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [grid_region; transport_leg] examples: ghg_scope3_cat04_transportation_fuel_based_electricity_quantity,1,1,grid_region; transport_leg,1; 1,1 x 1 x 1,,1,grid_region; transport_leg,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat04_transportation_fuel_based_electricity_quantity
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [hotel_type] examples: cat6_hotel_nights,1,1,hotel_type,1,1 x 1,,1,hotel_type,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,cat6_hotel_nights
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [hotel_type; factor_source] examples: cat6_hotel_emission_factor,1,1,hotel_type; factor_source,1; 1,1 x 1 x 1,,1,hotel_type; factor_source,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,cat6_hotel_emission_factor
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [intermediate_product; downstream_process_stage] examples: GHG_SCOPE3_CATEGORY_10_AVG_INTERMEDIATE_PRODUCT_MASS,1,1,intermediate_product; downstream_process_stage,1; 1,1 x 1 x 1,,1,intermediate_product; downstream_process_stage,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,GHG_SCOPE3_CATEGORY_10_AVG_INTERMEDIATE_PRODUCT_MASS
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"technical nodes with dimensions [intermediate_product; final_product] examples: cat11_intermediate_products_sold, cat11_intermediate_final_product_lifetime_uses",2,2,intermediate_product; final_product,1; 1,2 x 1 x 1,,2,intermediate_product; final_product,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,cat11_intermediate_products_sold;cat11_intermediate_final_product_lifetime_uses
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [intermediate_product; final_product; use_profile] examples: cat11_intermediate_emissions_per_use,1,1,intermediate_product; final_product; use_profile,1; 1; 1,1 x 1 x 1 x 1,,1,intermediate_product; final_product; use_profile,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,cat11_intermediate_emissions_per_use
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,reportable nodes with dimensions [inventory_year; ghg_scope] examples: base_year_emissions_profile_over_time,1,1,inventory_year; ghg_scope,1; 2,1 x 1 x 2,2,,inventory_year,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,,base_year_emissions_profile_over_time
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [inventory_year; ghg_scope] examples: base_year_emissions_profile_over_time,1,1,inventory_year; ghg_scope,1; 2,1 x 1 x 2,,2,inventory_year,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,base_year_emissions_profile_over_time
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [investee] examples: ghg_scope3_cat15_investor_equity_share,1,1,investee,1,1 x 1,,1,investee,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat15_investor_equity_share
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [investee; investee_sector] examples: ghg_scope3_cat15_investee_revenue,1,1,investee; investee_sector,1; 1,1 x 1 x 1,,1,investee; investee_sector,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat15_investee_revenue
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [investee; source_ghg_scope] examples: ghg_scope3_cat15_investee_scope12_emissions_tco2e,1,1,investee; source_ghg_scope,1; 2,1 x 1 x 2,,2,investee,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat15_investee_scope12_emissions_tco2e
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [investee_or_project] examples: ghg_scope3_cat15_investee_project_significant_scope3_emissions_tco2e,1,1,investee_or_project,1,1 x 1,,1,investee_or_project,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface; ghg_scope=fixed,ghg_scope3_cat15_investee_project_significant_scope3_emissions_tco2e
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [investee_sector; geographical_area] examples: ghg_scope3_cat15_eeio_sector_emission_factor,1,1,investee_sector; geographical_area,1; 1,1 x 1 x 1,,1,investee_sector; geographical_area,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat15_eeio_sector_emission_factor
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset] examples: ghg_scope3_cat13_lease_period_fraction,1,1,leased_asset,1,1 x 1,,1,leased_asset,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat13_lease_period_fraction
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset; activity_type] examples: ghg_scope3_cat13_leased_asset_activity_quantity,1,1,leased_asset; activity_type,1; 1,1 x 1 x 1,,1,leased_asset; activity_type,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat13_leased_asset_activity_quantity
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset; allocation_basis_type] examples: ghg_scope3_cat13_leased_asset_allocation_basis,1,1,leased_asset; allocation_basis_type,1; 1,1 x 1 x 1,,1,leased_asset; allocation_basis_type,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat13_leased_asset_allocation_basis
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset; lessee_or_customer] examples: ghg_scope3_cat13_leased_asset_scope12_emissions_tco2e,1,1,leased_asset; lessee_or_customer,1; 1,1 x 1 x 1,,1,leased_asset; lessee_or_customer,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat13_leased_asset_scope12_emissions_tco2e
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset_identifier] examples: scope3_category8_leased_asset_scope1_emissions,1,1,leased_asset_identifier,1,1 x 1,,1,leased_asset_identifier,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,scope3_category8_leased_asset_scope1_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"technical nodes with dimensions [leased_asset_identifier; energy_carrier] examples: scope3_category8_leased_asset_scope2_emissions, scope3_category8_asset_energy_quantity",2,2,leased_asset_identifier; energy_carrier,1; 4,2 x 1 x 4,,8,leased_asset_identifier,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,scope3_category8_leased_asset_scope2_emissions;scope3_category8_asset_energy_quantity
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset_identifier; fuel_or_energy_source] examples: scope3_category8_asset_fuel_quantity,1,1,leased_asset_identifier; fuel_or_energy_source,1; 1,1 x 1 x 1,,1,leased_asset_identifier; fuel_or_energy_source,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,scope3_category8_asset_fuel_quantity
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset_identifier; process_emission_type] examples: scope3_category8_asset_process_emissions,1,1,leased_asset_identifier; process_emission_type,1; 1,1 x 1 x 1,,1,leased_asset_identifier; process_emission_type,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,scope3_category8_asset_process_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset_identifier; refrigerant] examples: scope3_category8_asset_refrigerant_leakage_quantity,1,1,leased_asset_identifier; refrigerant,1; 1,1 x 1 x 1,,1,leased_asset_identifier; refrigerant,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,scope3_category8_asset_refrigerant_leakage_quantity
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"technical nodes with dimensions [leased_asset_type] examples: scope3_category8_leased_asset_count, ghg_scope3_cat13_average_leased_floor_space_or_asset_count",2,2,leased_asset_type,1,2 x 1,,2,leased_asset_type,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,scope3_category8_leased_asset_count;ghg_scope3_cat13_average_leased_floor_space_or_asset_count
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset_type; country_or_region] examples: scope3_category8_average_emissions_per_asset_type,1,1,leased_asset_type; country_or_region,1; 1,1 x 1 x 1,,1,leased_asset_type; country_or_region,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,scope3_category8_average_emissions_per_asset_type
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [leased_asset_type; factor_source] examples: ghg_scope3_cat13_average_emission_factor,1,1,leased_asset_type; factor_source,1; 1,1 x 1 x 1,,1,leased_asset_type; factor_source,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat13_average_emission_factor
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [lessee_or_customer] examples: ghg_scope3_cat13_lessee_scope12_emissions_tco2e,1,1,lessee_or_customer,1,1 x 1,,1,lessee_or_customer,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat13_lessee_scope12_emissions_tco2e
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [lessee_or_customer; allocation_basis_type] examples: ghg_scope3_cat13_lessee_total_allocation_basis,1,1,lessee_or_customer; allocation_basis_type,1; 1,1 x 1 x 1,,1,lessee_or_customer; allocation_basis_type,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,ghg_scope3_cat13_lessee_total_allocation_basis
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"technical nodes with dimensions [lessor] examples: scope3_category8_lessor_scope1_emissions, scope3_category8_lessor_scope2_emissions",2,2,lessor,1,2 x 1,,2,lessor,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface,scope3_category8_lessor_scope1_emissions;scope3_category8_lessor_scope2_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [material_input; supplier] examples: ghg_scope3_cat01_hybrid_material_input_emissions,1,1,material_input; supplier,1; 1,1 x 1 x 1,,1,material_input; supplier,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface; ghg_scope=fixed; scope3_category_ghg_protocol=fixed; calculation_method=fixed,ghg_scope3_cat01_hybrid_material_input_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [material_input; vehicle_type] examples: ghg_scope3_cat01_hybrid_material_transport_to_supplier_emissions,1,1,material_input; vehicle_type,1; 1,1 x 1 x 1,,1,material_input; vehicle_type,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface; ghg_scope=fixed; scope3_category_ghg_protocol=fixed; calculation_method=fixed,ghg_scope3_cat01_hybrid_material_transport_to_supplier_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,reportable nodes with dimensions [none] examples: biogenic_co2_emissions_separate_from_scopes,1,1,none,1,1 x 1,1,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_gas=fixed; inventory_scope_treatment=fixed,biogenic_co2_emissions_separate_from_scopes
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,reportable nodes with dimensions [none] examples: ghg_scope2_biogenic_co2_emissions,1,1,none,1,1 x 1,1,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_gas=fixed,ghg_scope2_biogenic_co2_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: ghg_scope2_location_based_emissions, ghg_scope2_market_based_emissions",2,2,none,1,2 x 1,2,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; scope2_calculation_method=fixed,ghg_scope2_location_based_emissions;ghg_scope2_market_based_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: ghg_scope2_market_based_contractual_percentage, ghg_scope2_market_based_instrument_factor_categories, ghg_scope2_procurement_new_projects_narrative",3,3,none,1,3 x 1,3,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,scope2_calculation_method=fixed,ghg_scope2_market_based_contractual_percentage;ghg_scope2_market_based_instrument_factor_categories;ghg_scope2_procurement_new_projects_narrative
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: ghg_scope3_cat01_supplier_specific_emissions, ghg_scope3_cat01_hybrid_emissions, ghg_scope3_cat01_average_data_emissions, ghg_scope3_cat01_spend_based_emissions, ghg_scope3_cat02_supplier_specific_emissions, ghg_scope3_cat02_hybrid_emissions, ghg_scope3_cat02_average_data_emissions, ghg_scope3_cat02_spend_based_emissions ...",35,35,none,1,35 x 1,35,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; scope3_category_ghg_protocol=fixed; calculation_method=fixed,ghg_scope3_cat01_supplier_specific_emissions;ghg_scope3_cat01_hybrid_emissions;ghg_scope3_cat01_average_data_emissions;ghg_scope3_cat01_spend_based_emissions;ghg_scope3_cat02_supplier_specific_emissions;ghg_scope3_cat02_hybrid_emissions;ghg_scope3_cat02_average_data_emissions;ghg_scope3_cat02_spend_based_emissions;ghg_scope3_cat05_supplier_specific_emissions;ghg_scope3_cat05_waste_type_specific_emissions;ghg_scope3_cat05_average_data_emissions;ghg_scope3_category6_fuel_based_emissions;ghg_scope3_category6_distance_based_emissions;ghg_scope3_category6_spend_based_emissions;ghg_scope3_category07_fuel_based_emissions;ghg_scope3_category07_distance_based_emissions;ghg_scope3_category07_average_data_emissions;scope3_category8_asset_specific_emissions;scope3_category8_lessor_specific_emissions;scope3_category8_average_data_emissions;GHG_SCOPE3_CATEGORY_10_SITE_SPECIFIC_EMISSIONS;GHG_SCOPE3_CATEGORY_10_AVERAGE_DATA_EMISSIONS;ghg_scope3_cat11_direct_energy_consuming_products_emissions;ghg_scope3_cat11_fuel_feedstock_combustion_emissions;ghg_scope3_cat11_contained_ghg_release_emissions;ghg_scope3_cat11_sold_intermediate_products_emissions;ghg_scope3_cat11_indirect_use_phase_emissions;ghg_scope3_cat12_supplier_specific_emissions;ghg_scope3_cat12_waste_type_specific_emissions;ghg_scope3_cat12_average_data_emissions;ghg_scope3_cat13_asset_specific_emissions;ghg_scope3_cat13_lessee_specific_emissions;ghg_scope3_cat13_average_data_emissions;ghg_scope3_cat14_franchise_specific_emissions;ghg_scope3_cat14_average_data_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: ghg_scope3_cat03_activity_a_upstream_purchased_fuels_emissions, ghg_scope3_cat03_activity_b_upstream_purchased_energy_emissions, ghg_scope3_cat03_activity_c_td_losses_emissions, ghg_scope3_cat03_activity_d_purchased_energy_sold_emissions",4,4,none,1,4 x 1,4,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; scope3_category_ghg_protocol=fixed; scope3_category3_activity=fixed,ghg_scope3_cat03_activity_a_upstream_purchased_fuels_emissions;ghg_scope3_cat03_activity_b_upstream_purchased_energy_emissions;ghg_scope3_cat03_activity_c_td_losses_emissions;ghg_scope3_cat03_activity_d_purchased_energy_sold_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: ghg_scope3_cat04_transportation_fuel_based_emissions, ghg_scope3_cat04_transportation_distance_based_emissions, ghg_scope3_cat04_transportation_spend_based_emissions, ghg_scope3_cat04_distribution_site_specific_emissions, ghg_scope3_cat04_distribution_average_data_emissions",5,5,none,1,5 x 1,5,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; scope3_category_ghg_protocol=fixed; scope3_category4_activity=fixed; calculation_method=fixed,ghg_scope3_cat04_transportation_fuel_based_emissions;ghg_scope3_cat04_transportation_distance_based_emissions;ghg_scope3_cat04_transportation_spend_based_emissions;ghg_scope3_cat04_distribution_site_specific_emissions;ghg_scope3_cat04_distribution_average_data_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: ghg_scope3_cat09_downstream_transportation_fuel_based_emissions, ghg_scope3_cat09_downstream_transportation_distance_based_emissions, ghg_scope3_cat09_downstream_transportation_spend_based_emissions, ghg_scope3_cat09_downstream_distribution_storage_site_specific_emissions, ghg_scope3_cat09_downstream_distribution_storage_average_data_emissions",5,5,none,1,5 x 1,5,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; scope3_category_ghg_protocol=fixed; scope3_category9_activity=fixed; calculation_method=fixed,ghg_scope3_cat09_downstream_transportation_fuel_based_emissions;ghg_scope3_cat09_downstream_transportation_distance_based_emissions;ghg_scope3_cat09_downstream_transportation_spend_based_emissions;ghg_scope3_cat09_downstream_distribution_storage_site_specific_emissions;ghg_scope3_cat09_downstream_distribution_storage_average_data_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: ghg_scope3_cat15_equity_investments_investment_specific_emissions, ghg_scope3_cat15_equity_investments_average_data_emissions, ghg_scope3_cat15_project_finance_debt_known_use_project_specific_emissions, ghg_scope3_cat15_project_finance_debt_known_use_average_data_emissions",4,4,none,1,4 x 1,4,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; scope3_category_ghg_protocol=fixed; scope3_category15_investment_type=fixed; calculation_method=fixed,ghg_scope3_cat15_equity_investments_investment_specific_emissions;ghg_scope3_cat15_equity_investments_average_data_emissions;ghg_scope3_cat15_project_finance_debt_known_use_project_specific_emissions;ghg_scope3_cat15_project_finance_debt_known_use_average_data_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: ghg_scope3_category3_upstream_energy_methodology, ghg_scope3_cat03_total_emissions",2,2,none,1,2 x 1,2,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; scope3_category_ghg_protocol=fixed,ghg_scope3_category3_upstream_energy_methodology;ghg_scope3_cat03_total_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: organizational_boundaries_outline, consolidation_approach_chosen, operational_boundaries_outline, reporting_period_covered, base_year_chosen, base_year_recalculation_policy_description, base_year_recalculation_trigger_context, emissions_calculation_or_measurement_methodologies ...",24,24,none,1,24 x 1,24,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,,organizational_boundaries_outline;consolidation_approach_chosen;operational_boundaries_outline;reporting_period_covered;base_year_chosen;base_year_recalculation_policy_description;base_year_recalculation_trigger_context;emissions_calculation_or_measurement_methodologies;calculation_tools_reference_or_link;specific_exclusions_sources_facilities_operations;gwp_values_source;multiple_ipcc_assessment_reports_used_indicator;optional_other_ghg_inventory_list;ghg_scope2_other_instrument_retirement;ghg_scope2_contractual_instrument_features;ghg_scope2_avoided_emissions_estimation;ghg_scope2_avoided_emissions_methodology_assumptions;ghg_scope2_avoided_emissions_program_gross_net_use;ghg_scope1_scope2_report_conformance;scope3_base_year;scope3_base_year_rationale;scope3_base_year_emissions_recalculation_policy;scope3_base_year_recalculation_context;gwp_values_source
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: scope3_activity_types_covered, ghg_scope1_gross_emissions_tco2e, ghg_scope2_gross_emissions_tco2e, ghg_scope2_methodology_description, ghg_scope2_base_year, ghg_scope2_base_year_calculation_method, ghg_scope2_base_year_historic_location_proxy, ghg_scope2_base_year_recalculation_context",8,8,none,1,8 x 1,8,,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed,scope3_activity_types_covered;ghg_scope1_gross_emissions_tco2e;ghg_scope2_gross_emissions_tco2e;ghg_scope2_methodology_description;ghg_scope2_base_year;ghg_scope2_base_year_calculation_method;ghg_scope2_base_year_historic_location_proxy;ghg_scope2_base_year_recalculation_context
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [none] examples: biogenic_co2_emissions_separate_from_scopes,1,1,none,1,1 x 1,,1,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface; ghg_gas=fixed; inventory_scope_treatment=fixed,biogenic_co2_emissions_separate_from_scopes
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,technical nodes with dimensions [none] examples: ghg_scope2_biogenic_co2_emissions,1,1,none,1,1 x 1,,1,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface; ghg_gas=fixed,ghg_scope2_biogenic_co2_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"technical nodes with dimensions [none] examples: ghg_scope2_location_based_emissions, ghg_scope2_market_based_emissions",2,2,none,1,2 x 1,,2,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface; ghg_scope=fixed; scope2_calculation_method=fixed,ghg_scope2_location_based_emissions;ghg_scope2_market_based_emissions
GHG Protocol,GHG Protocol,SDS GHG controlled closed package 2026-05-22,"technical nodes with dimensions [none] examples: ghg_scope2_market_based_contractual_percentage, ghg_scope2_market_based_instrument_factor_categories, ghg_scope2_procurement_new_projects_narrative",3,3,none,1,3 x 1,,3,,period; perimeter; entity; site; location; company master data,ghg_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface; scope2_calculation_method=fixed,ghg_scope2_market_based_contractual_percentage;ghg_scope2_market_based_instrument_factor_categories;ghg_scope2_procurement_new_projects_narrative
