identifier,variable,area_esg,estandar,codeESRS,codeGRI,unidad,tipo_unidad,frecuencia,tipo_valor,definicion,origen_definicion,origen_dato_operativo,evaluacion_doble_materialidad
urn:sds:reg:esrs:e1_9_25,Number of emission allowances stored (from previous allowances) at beginning of reporting period,Ambiental,ESRS/CSRD,E1-9_25,,count,Count,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph ar.74.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_26,"Potential future liabilities, based on existing contractual agreements, associated with carbon credits planned to be cancelled in near future",Ambiental,ESRS/CSRD,E1-9_26,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph ar.74.d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_27,Monetised gross Scope 1 and 2 GHG emissions,Ambiental,ESRS/CSRD,E1-9_27,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph ar.74.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_28,Monetised total GHG emissions,Ambiental,ESRS/CSRD,E1-9_28,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph ar.74.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_29,Net revenue from business activities at material transition risk,Ambiental,ESRS/CSRD,E1-9_29,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 67.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_30,Net revenue from customers operating in coal-related activities,Ambiental,ESRS/CSRD,E1-9_30,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 67.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_31,Net revenue from customers operating in oil-related activities,Ambiental,ESRS/CSRD,E1-9_31,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 67.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_32,Net revenue from customers operating in gas-related activities,Ambiental,ESRS/CSRD,E1-9_32,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 67.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_33,Percentage of net revenue from customers operating in coal-related activities,Ambiental,ESRS/CSRD,E1-9_33,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 67.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_34,Percentage of net revenue from customers operating in oil-related activities,Ambiental,ESRS/CSRD,E1-9_34,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 67.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_35,Percentage of net revenue from customers operating in gas-related activities,Ambiental,ESRS/CSRD,E1-9_35,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 67.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_36,Percentage of net revenue from business activities at material transition risk,Ambiental,ESRS/CSRD,E1-9_36,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph ar.76).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_37,Disclosure of risk factors for net revenue from business activities at material transition risk,Ambiental,ESRS/CSRD,E1-9_37,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph ar.76.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_38,Disclosure of anticipated financial effects in terms of margin erosion for business activities at material transition risk,Ambiental,ESRS/CSRD,E1-9_38,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph ar.76.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_39,Disclosure of reconciliations with financial statements of significant amounts of assets and net revenue at material physical risk,Ambiental,ESRS/CSRD,E1-9_39,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 68.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_40,"Disclosure of reconciliations with financial statements of significant amounts of assets, liabilities and net revenue at material transition risk",Ambiental,ESRS/CSRD,E1-9_40,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 68.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_41,Expected cost savings from climate change mitigation actions,Ambiental,ESRS/CSRD,E1-9_41,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 69.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_42,Expected cost savings from climate change adaptation actions,Ambiental,ESRS/CSRD,E1-9_42,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 69.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_43,Potential market size of low-carbon products and services or adaptation solutions to which undertaking has or may have access,Ambiental,ESRS/CSRD,E1-9_43,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 69.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_9_44,Expected changes to net revenue from low-carbon products and services or adaptation solutions to which undertaking has or may have access,Ambiental,ESRS/CSRD,E1-9_44,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-9, paragraph 69.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_gov_3_01,"Disclosure of whether and how climate-related considerations are factored into remuneration of members of administrative, management and supervisory bodies",Ambiental,ESRS/CSRD,E1.GOV-3_01,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.GOV-3, paragraph 13).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_gov_3_02,Percentage of remuneration recognised that is linked to climate related considerations,Ambiental,ESRS/CSRD,E1.GOV-3_02,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1.GOV-3, paragraph 13).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_gov_3_03,"Explanation of climate-related considerations that are factored into remuneration of members of administrative, management and supervisory bodies",Ambiental,ESRS/CSRD,E1.GOV-3_03,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.GOV-3, paragraph 13).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_01,Description of process in relation to impacts on climate change,Ambiental,ESRS/CSRD,E1.IRO-1_01,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph 20.a.ar.9).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_02,Description of process in relation to climate-related physical risks in own operations and along value chain,Ambiental,ESRS/CSRD,E1.IRO-1_02,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph 20.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_03,"Climate-related hazards have been identified over short-, medium- and long-term time horizons",Ambiental,ESRS/CSRD,E1.IRO-1_03,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.11.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_04,Undertaking has screened whether assets and business activities may be exposed to climate-related hazards,Ambiental,ESRS/CSRD,E1.IRO-1_04,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.11.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_05,"Short-, medium- and long-term time horizons have been defined",Ambiental,ESRS/CSRD,E1.IRO-1_05,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.11.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_06,Extent to which assets and business activities may be exposed and are sensitive to identified climate-related hazards has been assessed,Ambiental,ESRS/CSRD,E1.IRO-1_06,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.11.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_07,Identification of climate-related hazards and assessment of exposure and sensitivity are informed by high emissions climate scenarios,Ambiental,ESRS/CSRD,E1.IRO-1_07,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.11.d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_08,"Explanation of how climate-related scenario analysis has been used to inform identification and assessment of physical risks over short, medium and long-term",Ambiental,ESRS/CSRD,E1.IRO-1_08,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph 21).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_09,Description of process in relation to climate-related transition risks and opportunities in own operations and along value chain,Ambiental,ESRS/CSRD,E1.IRO-1_09,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph 20.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_10,"Transition events have been identified over short-, medium- and long-term time horizons",Ambiental,ESRS/CSRD,E1.IRO-1_10,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.12.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_11,Undertaking has screened whether assets and business activities may be exposed to transition events,Ambiental,ESRS/CSRD,E1.IRO-1_11,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.12.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_12,Extent to which assets and business activities may be exposed and are sensitive to identified transition events has been assessed,Ambiental,ESRS/CSRD,E1.IRO-1_12,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.12.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_13,Identification of transition events and assessment of exposure has been informed by climate-related scenario analysis,Ambiental,ESRS/CSRD,E1.IRO-1_13,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.12.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_14,Assets and business activities that are incompatible with or need significant efforts to be compatible with transition to climate-neutral economy have been identified,Ambiental,ESRS/CSRD,E1.IRO-1_14,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.12.d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_15,"Explanation of how climate-related scenario analysis has been used to inform identification and assessment of transition risks and opportunities over short, medium and long-term",Ambiental,ESRS/CSRD,E1.IRO-1_15,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph 21).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_iro_1_16,Explanation of how climate scenarios used are compatible with critical climate-related assumptions made in financial statements,Ambiental,ESRS/CSRD,E1.IRO-1_16,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.IRO-1, paragraph ar.15).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_sbm_3_01,Type of climate-related risk,Ambiental,ESRS/CSRD,E1.SBM-3_01,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.SBM-3, paragraph 18).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_sbm_3_02,Description of scope of resilience analysis,Ambiental,ESRS/CSRD,E1.SBM-3_02,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.SBM-3, paragraph 19.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_sbm_3_03,Disclosure of how resilience analysis has been conducted,Ambiental,ESRS/CSRD,E1.SBM-3_03,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.SBM-3, paragraph 19.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_sbm_3_04,Disclosure of when resilience analysis has been conducted,Ambiental,ESRS/CSRD,E1.SBM-3_04,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.SBM-3, paragraph 19.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_sbm_3_05,Time horizons applied for resilience analysis,Ambiental,ESRS/CSRD,E1.SBM-3_05,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.SBM-3, paragraph ar.7b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_sbm_3_06,Description of results of resilience analysis,Ambiental,ESRS/CSRD,E1.SBM-3_06,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.SBM-3, paragraph 19.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_sbm_3_07,Description of ability to adjust or adapt strategy and business model to climate change,Ambiental,ESRS/CSRD,E1.SBM-3_07,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1.SBM-3, paragraph ar.8.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_1_01,"Disclosure of whether and how policy addresses mitigating negative impacts related to pollution of air, water and soil",Ambiental,ESRS/CSRD,E2-1_01,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-1, paragraph 15.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_1_02,Disclosure of whether and how policy addresses substituting and minimising use of substances of concern and phasing out substances of very high concern,Ambiental,ESRS/CSRD,E2-1_02,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-1, paragraph 15.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_1_03,"Disclosure of whether and how policy addresses avoiding incidents and emergency situations, and if and when they occur, controlling and limiting their impact on people and environment",Ambiental,ESRS/CSRD,E2-1_03,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-1, paragraph 15.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_1_04,"Disclosure of contextual information on relations between policies implemented and how policies contribute to EU Action Plan Towards Zero Pollution for Air, Water and Soil",Ambiental,ESRS/CSRD,E2-1_04,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-1, paragraph ar.12).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_2_01,Layer in mitigation hierarchy to which action can be allocated to (pollution),Ambiental,ESRS/CSRD,E2-2_01,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-2, paragraph 19).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_2_02,Action related to pollution extends to upstream/downstream value chain engagements,Ambiental,ESRS/CSRD,E2-2_02,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-2, paragraph ar.13).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_2_03,Layer in mitigation hierarchy to which resources can be allocated to (pollution),Ambiental,ESRS/CSRD,E2-2_03,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-2, paragraph 19).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_2_04,Information about action plans that have been implemented at site-level (pollution),Ambiental,ESRS/CSRD,E2-2_04,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-2, paragraph ar.15).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_01,Disclosure of whether and how target relates to prevention and control of air pollutants and respective specific loads,Ambiental,ESRS/CSRD,E2-3_01,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph 23.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_02,Disclosure of whether and how target relates to prevention and control of emissions to water and respective specific loads,Ambiental,ESRS/CSRD,E2-3_02,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph 23.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_03,Disclosure of whether and how target relates to prevention and control of pollution to soil and respective specific loads,Ambiental,ESRS/CSRD,E2-3_03,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph 23.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_04,Disclosure of whether and how target relates to prevention and control of substances of concern and substances of very high concern,Ambiental,ESRS/CSRD,E2-3_04,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph 23.d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_05,Ecological thresholds and entity-specific allocations were taken into consideration when setting pollution-related target,Ambiental,ESRS/CSRD,E2-3_05,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph 24).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_06,Disclosure of ecological thresholds identified and methodology used to identify ecological thresholds (pollution),Ambiental,ESRS/CSRD,E2-3_06,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph 24.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_07,Disclosure of how ecological entity-specific thresholds were determined (pollution),Ambiental,ESRS/CSRD,E2-3_07,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph 24.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_08,Disclosure of how responsibility for respecting identified ecological thresholds is allocated (pollution),Ambiental,ESRS/CSRD,E2-3_08,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph 24.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_09,Pollution-related target is mandatory (required by legislation)/voluntary,Ambiental,ESRS/CSRD,E2-3_09,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph 25).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_10,Pollution-related target addresses shortcomings related to Substantial Contribution criteria for Pollution Prevention and Control,Ambiental,ESRS/CSRD,E2-3_10,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph ar.17).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_3_11,Information about targets that have been implemented at site-level (pollution),Ambiental,ESRS/CSRD,E2-3_11,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-3, paragraph ar.18).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_01,"Pollution of air, water and soil",Ambiental,ESRS/CSRD,E2-4_01,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 28.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_02,Emissions to air by pollutant,Ambiental,ESRS/CSRD,E2-4_02,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 28.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_03,Emissions to water by pollutant,Ambiental,ESRS/CSRD,E2-4_03,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 28.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_04,Emissions to soil by pollutant,Ambiental,ESRS/CSRD,E2-4_04,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 28.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_05,Microplastics generated and used,Ambiental,ESRS/CSRD,E2-4_05,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 28.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_06,Microplastics generated,Ambiental,ESRS/CSRD,E2-4_06,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 28.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_07,Microplastics used,Ambiental,ESRS/CSRD,E2-4_07,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 28.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_08,"Description of changes over time (pollution of air, water and soil)",Ambiental,ESRS/CSRD,E2-4_08,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 30.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_09,"Description of measurement methodologies (pollution of air, water and soil)",Ambiental,ESRS/CSRD,E2-4_09,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 30.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_10,Description of process(es) to collect data for pollution-related accounting and reporting,Ambiental,ESRS/CSRD,E2-4_10,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 30.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_11,Percentage of total emissions of pollutants to water occurring in areas at water risk,Ambiental,ESRS/CSRD,E2-4_11,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph ar.23.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_12,Percentage of total emissions of pollutants to water occurring in areas of high-water stress,Ambiental,ESRS/CSRD,E2-4_12,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph ar.23.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_13,Percentage of total emissions of pollutants to soil occurring in areas at water risk,Ambiental,ESRS/CSRD,E2-4_13,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph ar.23.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_14,Percentage of total emissions of pollutants to soil occurring in areas of high-water stress,Ambiental,ESRS/CSRD,E2-4_14,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph ar.23.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_15,Disclosure of reasons for choosing inferior methodology to quantify emissions,Ambiental,ESRS/CSRD,E2-4_15,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph 31).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_16,Disclosure of list of installations operated that fall under IED and EU BAT Conclusions,Ambiental,ESRS/CSRD,E2-4_16,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph ar.25a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_17,Disclosure of list of any non-compliance incidents or enforcement actions necessary to ensure compliance in case of breaches of permit conditions,Ambiental,ESRS/CSRD,E2-4_17,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph ar.25b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_18,Disclosure of actual performance and comparison of environmental performance against emission levels associated with best available techniques (BAT-AEL) as described in EU-BAT conclusions,Ambiental,ESRS/CSRD,E2-4_18,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph ar.25c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_19,Disclosure of actual performance against environmental performance levels associated with best available techniques (BAT-AEPLs) applicable to sector and installation,Ambiental,ESRS/CSRD,E2-4_19,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph ar.25d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_4_20,Disclosure of list of any compliance schedules or derogations granted by competent authorities according to Article 15(4) IED that are associated with implementation of BAT-AELs,Ambiental,ESRS/CSRD,E2-4_20,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E2-4, paragraph ar.25e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_5_01,"Total amount of substances of concern that are generated or used during production or that are procured, breakdown by main hazard classes of substances of concern",Ambiental,ESRS/CSRD,E2-5_01,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-5, paragraph 34).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_5_02,Total amount of substances of concern that are generated or used during production or that are procured,Ambiental,ESRS/CSRD,E2-5_02,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-5, paragraph 34).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_5_03,"Total amount of substances of concern that leave facilities as emissions, as products, or as part of products or services",Ambiental,ESRS/CSRD,E2-5_03,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-5, paragraph 34).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_5_04,Amount of substances of concern that leave facilities as emissions by main hazard classes of substances of concern,Ambiental,ESRS/CSRD,E2-5_04,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-5, paragraph 34).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_5_05,Amount of substances of concern that leave facilities as products by main hazard classes of substances of concern,Ambiental,ESRS/CSRD,E2-5_05,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-5, paragraph 34).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_5_06,Amount of substances of concern that leave facilities as part of products by main hazard classes of substances of concern,Ambiental,ESRS/CSRD,E2-5_06,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-5, paragraph 34).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_5_07,Amount of substances of concern that leave facilities as services by main hazard classes of substances of concern,Ambiental,ESRS/CSRD,E2-5_07,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-5, paragraph 34).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e2_5_08,Total amount of substances of very high concern that are generated or used during production or that are procured by main hazard classes of substances of concern,Ambiental,ESRS/CSRD,E2-5_08,,tonnes,Mass,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E2-5, paragraph 35).",external-standard,entity-specific,entity-assessment-required
